Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
Ad.com CPA Network_Group,187145477,89197,223652,235,3205.8,40687,2,Prospecting
Admob iPad Banner Sustaining_Group,3195814.33,31599,2427.32,9,0,24,2,Prospecting
Admob iPad Banners New Device Targeting_Group,4887414,16621,2957.74,5,0,62,2,Prospecting
Admob iPad Text Tile New Device Targeting_Group,12239178,74010,4987.33,18,0,68,2,Prospecting
Admob iPad Text Tile Sustaining_Group,9237687,102875,4999.99,33,0,80,2,Prospecting
Amazon ROS CPC_Group,222802202,31698,58641.3,279,2143.8,16706,2,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_300x250,1145185,1419,425.7,2,0,8,2,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_468x60,627679,246,73.8,0,0,1,2,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_728x90,3373097,27259,8177.7,5,0,8,2,Prospecting
cancel_Millennial Tablet RON_300x250,2524580,2245,449,0,0,5,2,Prospecting
cancel_Millennial Tablet RON_468x60,2697803,7586,1517.2,3,0,9,2,Prospecting
cancel_Millennial Tablet RON_728x90,23939552,28766,5753.2,41,0,62,2,Prospecting
EOGN ROS CPM_Group,0,8583,0,21,0,6295,2,Prospecting
Google A45 Genealogy Interest Targeting_Group,25228814,9836,26160.02,44,314.7,3885,2,Prospecting
Google A45 Parenting Topic Targeting_Group,12546134,3670,9169.26,7,70.5,1583,2,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,22395833,10406,24682.6,49,397.5,5143,2,Prospecting
Google Genealogy Topic Targeting_Group,7766294,4977,7299.28,62,515.7,8005,2,Prospecting
Google Keyword Contextual Targeting_Group,36283295,11217,29543.09,35,372,3869,2,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,9149477,19,8495.55,0,37.2,226,2,Prospecting
iMedia Age50 Living Channel_Group,44098154,50261,74966.9,289,1347,10380,2,Prospecting
Invite Prospect Age Targeting_Group,82902972,58260,25565.78,59,192.3,2294,2,Prospecting
Millennial Demo Targeting Tablet A45+_Group,4757173,7587,2276.1,2,0,2,2,Prospecting
Millennial Tablet RON_Group,7525602,16416,3283.2,7,0,14,2,Prospecting
Mobclix Android RON_Group,1116876,9939,2484.75,0,0,16,2,Prospecting
Mobclix iPad RON_Group,7418325,71909,17977.25,21,0,99,2,Prospecting
MSN Behavioral Targeting Boomers_Group,3028398,2061,8918.46,7,44.7,786,2,Prospecting
MSN Experian Mosaic Targeting_Group,3490050,1803,10477.39,4,33,680,2,Prospecting
MSN MMN CPA Group,1646974,1350,923.1,1,17.1,185,2,Prospecting
MSN Profile CPM Adults 45_Group,5635850,1853,11271.7,11,22.8,583,2,Prospecting
MSN Run of Social _Group,7939796,6572,11512.7,17,76.5,1231,2,Prospecting
MSN Search Retargeting_Group,2209715,2489,5303.32,18,34.2,624,2,Prospecting
NBC Targeted Media Added Value_Group,998185,1330,0,13,19.8,359,2,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,2657776,9208,31891.08,74,109.8,3993,2,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,2657934,6466,29237.27,34,55.5,2428,2,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,182880,4814,2926.08,31,72.6,3999,2,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,186679,3233,3360.22,25,0.3,1380,2,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,202035,4731,3636.63,33,6,2157,2,Prospecting
Netmining Custom Audience Targeting_Group,6697643,4690,20093.49,29,386.4,4137,2,Prospecting
Quantcast ACOM Subscription Model_Group,20160163,17865,60480.82,110,1592.1,17966,2,Prospecting
Tribal Fusion CPA_Group,32117288,39227,91434,149,1177.5,16013,2,Prospecting
Turn Predictive Retargeting_Group,5216869,6113,14905.38,26,315,7997,2,Prospecting
Invite Retargeting_Group,28975324,81735,24550.08,92,414,11379,2,Remarketing
Netmining Retargeting_Group,8536095,9321,38412.6,56,569.1,7400,2,Remarketing
Tribal Fusion CPA Remarketing_Group,2286079,3261,6699,9,95.4,900,2,Remarketing
Turn Retargeting_Group,15223000,47496,45095.43,155,1704,13696,2,Remarketing
Ad.com CPA Network_Group,139438481,82693,194867,289,2706.6,34434,3,Prospecting
Admob iPad Banner Sustaining_Group,4740358.67,48891,2572.66,59,0,104,3,Prospecting
Admob iPad Banners New Device Targeting_Group,15376837,65872,5012.59,84,0,145,3,Prospecting
Admob iPad Text Tile New Device Targeting_Group,5823954,24551,2500,33,0,70,3,Prospecting
Admob iPad Text Tile Sustaining_Group,5329152,59808,2499.99,51,0,104,3,Prospecting
Amazon ROS CPC_Group,184718932,28294,52343.9,221,1964.1,13823,3,Prospecting
AOL Email Log-in Page_1300x856,7473029,49091,80000,151,123,929,3,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_300x250,3,0,0,1,0,1,3,Prospecting
cancel_Millennial Demo Targeting Tablet A45+_728x90,45,0,0,1,0,0,3,Prospecting
cancel_Millennial Tablet RON_728x90,102,0,0,6,0,12,3,Prospecting
EOGN ROS CPM_Group,0,14870,0,11,0,10915,3,Prospecting
Google A45 Genealogy Interest Targeting_Group,24248303,8410,24259.2,54,336.9,4097,3,Prospecting
Google A45 Parenting Topic Targeting_Group,119,0,0.07,0,2.7,55,3,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,26722915,10915,29791.71,60,427.5,5575,3,Prospecting
Google Genealogy Topic Targeting_Group,5335976,3203,5217.3,50,392.4,4040,3,Prospecting
Google Keyword Contextual Targeting_Group,30108140,8884,24232.48,24,328.2,2769,3,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,8330133,3,7249.1,0,5.4,24,3,Prospecting
iMedia Age50 Living Channel_Group,38380790,56332,65247.25,376,1458.6,11259,3,Prospecting
Invite Prospect Age Targeting_Group,41711533,27109,8878.54,34,156,1032,3,Prospecting
Millennial Demo Targeting Tablet A45+_Group,0,174,0,9,0,9,3,Prospecting
Millennial Tablet MobiBlock_Group,2431302,33640,12156.77,13,0,35,3,Prospecting
Millennial Tablet RON_Group,9184210,63753,12750.6,63,0,149,3,Prospecting
Mobclix Android RON_Group,1210,14,3.5,0,0,0,3,Prospecting
Mobclix iPad RON_Group,5151864,43577,10894.25,39,0,220,3,Prospecting
MSN Behavioral Targeting Boomers_Group,167284,0,109,0,2.4,29,3,Prospecting
MSN Experian Mosaic Targeting_Group,195166.67,1,127.17,0,1.5,38,3,Prospecting
MSN MMN CPA Group,71276599.33,51330,25473.53,102,395.7,4104,3,Prospecting
MSN Run of Social _Group,195207.67,0,127.23,1,12.9,195,3,Prospecting
MSN Search Retargeting_Group,585502,5,381.52,1,1.2,46,3,Prospecting
NBC Targeted Media Added Value_Group,501884,323,0,1,4.8,57,3,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,2526388,3879,27790.43,39,70.2,1121,3,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,2359761,2444,28317.14,15,54.3,793,3,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,187835,4053,3381.03,47,108.3,4632,3,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,190981,2575,3055.69,22,0.6,1464,3,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,192711,4539,2783.02,37,2.4,2284,3,Prospecting
Netmining Custom Audience Targeting_Group,5915650,3107,17747.64,18,174.6,2311,3,Prospecting
Quantcast ACOM Subscription Model_Group,25957687,22590,77873.57,169,2121.6,15910,3,Prospecting
Tribal Fusion CPA_Group,14857698,15590,70364,83,922.2,9959,3,Prospecting
Turn Predictive Retargeting_Group,8308330,7551,25007.81,26,487.8,9443,3,Prospecting
Invite Retargeting_Group,18244387,30627,15746.48,53,330.9,9220,3,Remarketing
Netmining Retargeting_Group,8174663,6774,36786.34,45,632.4,9240,3,Remarketing
Tribal Fusion CPA Remarketing_Group,10575211,16246,30772,49,390.6,5445,3,Remarketing
Turn Retargeting_Group,16347586,18776,49995.03,160,1873.8,19154,3,Remarketing
